PhenID	StudyID	DataSetID	DataSet Name	PhenName	PhenDescription					PhenNorm	Theme	ThemePCN	ThemeCUI	ThemeSTT	TopicPCN	Topic CUI	Topic STT	SOI	SOI CUIs	SOI STT	Category
phv00015245.v1 	 phs000017.v3.p1 	 pht000057.v1 	 EA_DIGS3_Data 	 SEV_DEP_DECR_ALCOHOL 	" F35.a. Sev Dep Decr Alcohol, (Participants with European ancestry). DIGS3 "	 NONE 	 NONE 	 NONE 	 NONE 	 f35  a  sev dep decr alcohol   participants with european ancestry   digs3 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 1-(2-(dodecyloxy)ethyl)pyrrolidine hydrochloride;alcohols;alcohol measurement;sev (substance) 	 C0057472;C0001975;C0202304;C0458216 	" orch,phsu;orch,phsu;lbpr;food "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Lab Tests Patient;Drinking History;Eating or Nutritional Finding
phv00092125.v1 	 phs000280.v1.p1 	 pht001300.v1 	 ARIC_CARE_DENTAL_JUNE_2009 	 BLMB1 	 Bleeding on Probing (BL) measure for Mesiobuccal (MB) of tooth number 1 	 encoded 	 NONE 	 NONE 	 NONE 	 bleeding on probing  bleeding on probing  measure for mesiobuccal  mesiobuccal  of tooth number 1 	 NULL 	 NULL 	 NULL 	 NULL 	 hemorrhage;exploration with a probe 	 C0019080;C0419358 	 patf;diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00025092.v1 	 phs000086.v2.p1 	 pht000212.v1 	 DCCT_ms7exf10 	 QV20_R49 	 WAIS digit span - age-corrected score (quarterly visit 20) 	 byte 	 DIGIT SPAN SCORE (AGE-CORRECTED) 	 NONE 	 NONE 	 wechsler adult intelligence scale digit span age corrected score  quarterly visit 20 	 Age 	 age 	 C0001779 	 orga 	 intelligence test/wais (procedure);health care visit 	 C2609456;C1512346 	 diap;inbe 	 study subject 	 C0681850 	 grup	Demographics Patient;Healthcare Encounter;Diagnostic Procedure
phv00155201.v2 	 phs000200.v8.p2 	 pht002118.v2 	 ecg_rel2 	 MNST_III 	" Minimum of STJ, STM, STE amplitudes, lead mnst_iii "	 integer 	 NONE 	-1607	854	 minimum of stj  stm  st elevation amplitudes  lead mnst_iii 	 NULL 	 NULL 	 NULL 	 NULL 	" microscopy, scanning tunneling;st segment elevation (finding);lead;plumbum metallicum, homeopathic preparation "	 C0079837;C0520886;C0023175;C1442948 	" lbpr;fndg;elii,hops;inch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient;Lab Tests Patient;Substance Use History;Medical History
phv00052500.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V973 	" G44d More than 14 days, (African American participants). DIGS4 "	 NONE 	 NONE 	 NONE 	 NONE 	 g44 d more than 14 days   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 diagnosis;genetic study 	 C0011900;C2827447 	 fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00164848.v1 	 phs000440.v1.p1 	 pht002495.v1 	 MARAZITA_Guatemala_Cleft_PhenotypeDS 	 GENDER 	 Gender of participant. 	 encoded integer 	 NONE 	1	2	 gender of participant 	 Gender 	 gender 	 C0079399 	 orga;orga 	 gender:type:point in time:^patient:nominal 	 C0804628 	 clna 	 participant 	 C0679646 	 popg	Demographics Patient
phv00057647.v1 	 phs000007.v18.p7 	 pht000397.v2 	 sleep1_2003s 	 amxbnbh 	 Maximum BPM in NREM (Back position) associated with arousal 	 NONE 	 NONE 	 NONE 	 NONE 	 maximum beats per minute in non-rapid eye movement  back position  associated with arousal 	 NULL 	 NULL 	 NULL 	 NULL 	 arousal 	 C0003808 	 menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding
phv00087097.v1 	 phs000209.v10.p2 	 pht001121.v3 	 MESA_FamilyExamMain 	 reninsfc 	 INDICATOR OF RENAL INSUFFICIENCY (GFR<60) 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 indicator of renal insufficiency  gfr<60 	 NULL 	 NULL 	 NULL 	 NULL 	 renal insufficiency;glomerular filtration rate 	 C1565489;C0017654 	" dsyn;diap,ortf "	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00097273.v1 	 phs000280.v1.p1 	 pht001399.v1 	 ARIC_CARE_TIADV3C1 	 TIAD39H 	 PARALYSIS:PAIN IN WEAK ARM/LEG/FACE Q39H 	 encoded 	 NONE 	 NONE 	 NONE 	 paralysis pain in weak arm/leg/face q39 h 	 NULL 	 NULL 	 NULL 	 NULL 	 paralysed;pain;pain nos adverse event;monoparesis - leg;upper extremity paresis 	 C0522224;C0030193;C1962977;C0427068;C0751409 	 fndg;sosy;fndg;fndg;sosy 	 study subject 	 C0681850 	 grup	Clinical Attributes;Medical History
phv00127434.v1 	 phs000286.v3.p1 	 pht001954.v1 	 ECGA 	 ecga315 	 QSPTII - QS Pattern in lead II 	 encoded 	 NONE 	 NONE 	 NONE 	 qsptii qs pattern in lead ii 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00052879.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V1563 	" K23 Running commentary, (African American participants). DIGS4 "	 NONE 	 NONE 	 NONE 	 NONE 	 k23  running commentary   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 running (physical activity);diagnosis;genetic study 	 C0035953;C0011900;C2827447 	 dora;fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes;Daily or Recreational Activity
phv00160797.v1 	 phs000209.v10.p2 	 pht002195.v2 	 MESA_Exam1ECGContiWaveform 	 bppiv21 	" P' Intrisicoid (Time from P Onset to Peak of P'), Lead V2 (mSec) "	 NUMERIC 	 msec 	 NONE 	 NONE 	 p  intrisicoid  time from p started to peak of p    lead v2 m sec 	 NULL 	 NULL 	 NULL 	 NULL 	" p prime;lead;plumbum metallicum, homeopathic preparation;v2 stage "	 C2603361;C0023175;C1442948;C0457423 	" clna;elii,hops;inch,phsu;fndg "	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History;Medical History
phv00052419.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V815 	" G10b Number hours usually, (African American participants). DIGS4 "	 NONE 	 Hours 	 NONE 	 NONE 	 g10 b number hours usually   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 diagnosis;genetic study 	 C0011900;C2827447 	 fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00127406.v1 	 phs000286.v3.p1 	 pht001954.v1 	 ECGA 	 ecga287 	 MXRDV4 - Maximum R Duration in lead V4 	 integer 	 NONE 	0	156	 mxrdv4 maximum r duration in lead v4 	 NULL 	 NULL 	 NULL 	 NULL 	 duration;r prime 	 C2926735;C2603358 	 phsu;clna 	 study subject 	 C0681850 	 grup	
phv00034017.v1 	 phs000086.v2.p1 	 pht000280.v1 	 DCCT_hbam 	 HBAD100 	 HbA1c collection date (month 100) 	 long 	 NONE 	 NONE 	 NONE 	 hba1 c collection date  month 100 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00123373.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 BTOURENO 	 81 How many brothers with Tourette's Syndrome 	 encoded 	 NONE 	 NONE 	 NONE 	 81 how many brothers with tourette s syndrome 	 NULL 	 NULL 	 NULL 	 NULL 	 gilles de la tourette syndrome 	 C0040517 	 mobd 	 brothers 	 C0337527 	 famg	Medical History Family
phv00114470.v2 	 phs000285.v2.p2 	 pht001612.v2 	 B2F09MHB 	 B09HBLUS 	 TIME SINCE LAST USED HBP MED 	 encoded 	 NONE 	 NONE 	 NONE 	 time since last used high blood pressure med 	 NULL 	 NULL 	 NULL 	 NULL 	 used by;hypertensive disease;ever told by doctor or nurse that you have high blood pressure:finding:point in time:^patient:ordinal 	 C1273517;C0020538;C2926615 	 fndg;dsyn;clna 	 study subject 	 C0681850 	 grup	Clinical Attributes;Medical History
phv00029504.v1 	 phs000086.v2.p1 	 pht000243.v1 	 DCCT_ms4exprt 	 MST2_99 	 Median nerve - sensory - post-test temperature: close-out 	 float 	 M/SEC 	 NONE 	 NONE 	 median nerve sensory post test temperature  close out 	 NULL 	 NULL 	 NULL 	 NULL 	 laboratory procedures 	 C0022885 	 lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Clinical Attributes
phv00015529.v1 	 phs000017.v3.p1 	 pht000057.v1 	 EA_DIGS3_Data 	 OTH_MANIA_MIXED_WEEKS 	" G59.a.10. Oth Mania Mixed Weeks, (Participants with European ancestry). DIGS3 "	 NONE 	 Weeks 	 NONE 	 NONE 	 g59 a 10   oth mania mixed weeks   participants with european ancestry   digs3 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 manic 	 C0338831 	 mobd 	 participant 	 C0679646 	 popg	Demographics Patient;Medical History
phv00143376.v3 	 phs000209.v10.p2 	 pht002100.v3 	 MESA_AncilMesaLungExam1CT 	 LUC_air_v 	 LEFT LUNG UPPER CORE: TOTAL VOLUME OF AIR IN THIS LUNG REGION (ml) 	 Numeric 	 ml 	 NONE 	 NONE 	 left lung upper core  total volume of air in this lung region  mesiolingual 	 NULL 	 NULL 	 NULL 	 NULL 	 volume measurement 	 C2700258 	 lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient
phv00057720.v1 	 phs000007.v18.p7 	 pht000397.v2 	 sleep1_2003s 	 cardnop 	 Central Apnea RDI in NREM (Other position) overall 	 NONE 	 NONE 	 NONE 	 NONE 	 central apnea recommended dietary intake in non-rapid eye movement  other position  overall 	 NULL 	 NULL 	 NULL 	 NULL 	" sleep apnea, central;diet;dietary intake;others "	 C0520680;C0012155;C1286104;C1955473 	 dsyn;food;orgf;fndg 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00020872.v4 	 phs000007.v18.p7 	 pht000074.v6 	 ex3_1s 	 G3A006 	 CHECK UP BY DOCTOR IN PAST 5 YEARS 	 NONE 	 NONE 	 NONE 	 NONE 	 check up by doctor in past 5 years 	 NULL 	 NULL 	 NULL 	 NULL 	 encounter due to unspecified general medical examination;checkup examination 	 C0260860;C0598836 	 fndg;hlca 	 study subject 	 C0681850 	 grup	
phv00128351.v1 	 phs000286.v3.p1 	 pht001973.v1 	 RPAA 	 RPAA22 	 22: Stop for breath after walking 100yds? 	 encoded 	 NONE 	 NONE 	 NONE 	 22  stop for breath after walking 100 yds 	 NULL 	 NULL 	 NULL 	 NULL 	 walking (activity) 	 C0080331 	 dora 	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00158587.v1 	 phs000228.v3.p1 	 pht002156.v1 	 EMMES_HMP_DSU 	 DSUFOT_C 	 Failed scrn other - coded fields 	 String 	 NONE 	 NONE 	 NONE 	 failed scrn other coded fields 	 NULL 	 NULL 	 NULL 	 NULL 	 others 	 C1955473 	 fndg 	 study subject 	 C0681850 	 grup	
phv00032853.v1 	 phs000086.v2.p1 	 pht000278.v1 	 DCCT_bgpdat 	 VAL25B09 	 Pre-breakfast blood glucose at OD 340 (quarterly visit 09) 	 float 	 OD 340 	 NONE 	 NONE 	 pre breakfast blood glucose at od 340   quarterly visit 09 	 NULL 	 NULL 	 NULL 	 NULL 	 blood glucose measurement;osteochondritis dissecans;health care visit 	 C0392201;C0029421;C1512346 	 lbpr;dsyn;inbe 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Healthcare Encounter;Medical History
phv00105262.v1 	 phs000287.v2.p1 	 pht001490.v1 	 YR5NEW 	 CHRCHN04 	 HAS HOUSEHOLD CHORES CHANGED 	 encoded 	 NONE 	 NONE 	 NONE 	 has household chores changed 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 households 	 C0020052 	 famg	Daily or Recreational Activity Family
phv00171879.v1 	 phs000007.v18.p7 	 pht002854.v1 	 t_ctlung_2005_m_0696s 	 FULL_PAR 	 Full or partial scan 	 string 	 NONE 	 NONE 	 NONE 	 full or partial scan 	 NULL 	 NULL 	 NULL 	 NULL 	 radionuclide imaging;scanning;related to cancer 	 C0034606;C0441633;C2826292 	 diap;diap;fndg 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00017558.v1 	 phs000017.v3.p1 	 pht000058.v1 	 EA_DIGS4_Data 	 V530 	 F27.  Specify other.  (Participants with European ancestry). DIGS4 	 NONE 	 NONE 	 NONE 	 NONE 	 f27   specify other   participants with european ancestry   diagnostic interview for genetic studies 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 diagnosis;genetic study 	 C0011900;C2827447 	 fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00078713.v3 	 phs000200.v8.p2 	 pht001001.v3 	 f32_rel1 	 COLOSIS2 	 Age sister (2) had colorectal cancer 	 encoded value 	 NONE 	 NONE 	 NONE 	 age sister  2  had colorectal cancer 	 Age 	 age 	 C0001779 	 orga 	 carcinoma of the large intestine;colorectal cancer 	 C0009402;C1527249 	 neop;neop 	 sister 	 C0337514 	 famg	Demographics Family;Medical History Family
phv00097279.v1 	 phs000280.v1.p1 	 pht001399.v1 	 ARIC_CARE_TIADV3C1 	 TIAD42B 	 DIZZINESS: PARALYSIS OR WEAKNESS  Q42B 	 encoded 	 NONE 	 NONE 	 NONE 	 dizziness  paralysis or weakness q42 b 	 NULL 	 NULL 	 NULL 	 NULL 	 dizziness;paralysed;vertigo;dizziness adverse event;asthenia;lassitude;weakness 	 C0012833;C0522224;C0042571;C1963093;C0004093;C0086525;C1883552 	 sosy;fndg;sosy;fndg;sosy;sosy;sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00031607.v1 	 phs000086.v2.p1 	 pht000266.v1 	 DCCT_cbl4 	 BCVAL22 	 CBL4: Lipid test - 22: triglyceride (serum) value  (mg/dl) 	 int 	 MG/DL 	 NONE 	 NONE 	 cbl4  lipid test 22  triglyceride  serum  value  mg/dl 	 NULL 	 NULL 	 NULL 	 NULL 	 measurement of serum lipid level 	 C0428462 	 lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient
phv00095134.v1 	 phs000280.v1.p1 	 pht001347.v1 	 ARIC_CARE_MSRV2C1 	 MSBM04B 	 MEDICATION CODE NO. -- REPLACES   Q04B 	 string 	 NONE 	 NONE 	 NONE 	 medication code no  replaces q04 b 	 NULL 	 NULL 	 NULL 	 NULL 	 pharmaceutical preparations 	 C0013227 	 phsu 	 study subject 	 C0681850 	 grup	Medication Patient
phv00011554.v2 	 phs000016.v2.p2 	 pht000054.v2 	 SDQTeacher 	 stq25 	" Shows good attention span, sees chores or homework through to the end "	 smallint(6) 	 NONE 	 NONE 	 NONE 	 shows good attention span  sees chores or homework through to the end 	 NULL 	 NULL 	 NULL 	 NULL 	 attention span;vision 	 C0679046;C0042789 	 menp;orgf 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding;Daily or Recreational Activity
phv00127963.v1 	 phs000286.v3.p1 	 pht001964.v1 	 MSRA 	 MSRA38C 	 38c: For what purpose did you used lemon/lemon juice? 	 string 	 NONE 	 NONE 	 NONE 	 38 c  for what purpose did you used lemon/lemon juice 	 NULL 	 NULL 	 NULL 	 NULL 	 used by;lemon juice 	 C1273517;C0452457 	 fndg;food 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00077712.v3 	 phs000200.v8.p2 	 pht000991.v3 	 f144_rel1 	 OESTRANW_4 	 Olestra/past year 	 encoded value 	 NONE 	 NONE 	 NONE 	 olestra/past year 	 NULL 	 NULL 	 NULL 	 NULL 	 sucrose polyester 	 C0075483 	" carb,lipd,phsu "	 study subject 	 C0681850 	 grup	Medication Patient
phv00034153.v1 	 phs000086.v2.p1 	 pht000282.v1 	 DCCT_f002cmb4 	 OBPATNOJ 	 Patient unemployed or retired 	 byte 	 NONE 	 NONE 	 NONE 	 patient unemployed or retired 	 Employment Status 	 unemployment 	 C0041674 	 fndg 	 unemployment;retirement 	 C0041674;C0035345 	 fndg;fndg 	 study subject 	 C0681850 	 grup	Demographics Patient;Medical History
phv00033463.v1 	 phs000086.v2.p1 	 pht000278.v1 	 DCCT_bgpdat 	 VAL33B36 	 Blood glucose profile 8 at OD 340 (quarterly visit 36) 	 float 	 OD 340 	 NONE 	 NONE 	 blood glucose profile 8 at od 340   quarterly visit 36 	 NULL 	 NULL 	 NULL 	 NULL 	 profile (lab procedure);blood glucose measurement;osteochondritis dissecans;health care visit 	 C1979963;C0392201;C0029421;C1512346 	 lbpr;lbpr;dsyn;inbe 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Healthcare Encounter;Medical History
phv00119696.v2 	 phs000285.v2.p2 	 pht001808.v2 	 F1F02 	 F02TEMP 	 ROOM TEMPERATURE IN DEGREES CENTIGRADE. Q 4 	 integer 	 NONE 	18	30	 room temperature in degrees centigrade  q 4 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	Clinical Attributes
phv00056485.v2 	 phs000007.v18.p7 	 pht000395.v6 	 sleep1_1998s 	 HRqual 	 HR/ECG signal quality (hours of signal most free from artifact) 	 NONE 	 NONE 	 NONE 	 NONE 	 hr/ecg signal quality  hours of signal most free from artifact 	 NULL 	 NULL 	 NULL 	 NULL 	 electrocardiography 	 C1623258 	 diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00160192.v1 	 phs000353.v1.p1 	 pht002256.v1 	 Preterm_Birth_AA_Subject_Phenotypes_115 	 num_fetus 	 Number of fetuses. 	 encoded integer 	 NONE 	1	2	 number of fetuses 	 NULL 	 NULL 	 NULL 	 NULL 	 fetuses:number:point in time:^patient:quantitative 	 C2708510 	 clna 	 study subject 	 C0681850 	 grup	
phv00072626.v2 	 phs000007.v18.p7 	 pht000748.v3 	 pat1_8s 	 PCUPS 	" If ""yes"" to PCAFFEIN: How many cups? "	" integer, encoded "	 NONE 	2	3	 if yes to pcaffein  how many cups 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00077727.v3 	 phs000200.v8.p2 	 pht000991.v3 	 f144_rel1 	 PHYPLS_4 	 Natural/Phytoestrogen pills 	 encoded value 	 NONE 	 NONE 	 NONE 	 natural/phytoestrogen pills 	 NULL 	 NULL 	 NULL 	 NULL 	 phytoestrogens 	 C0071011 	" horm,phsu,strd "	 study subject 	 C0681850 	 grup	Medication Patient
phv00003954.v1 	 phs000007.v18.p7 	 pht000021.v3 	 ex0_19s 	 FL337 	 BREAST HAS AXILLARY NODES 	 NONE 	 NONE 	 NONE 	 NONE 	 breast has axillary nodes 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00076057.v1 	 phs000196.v2.p1 	 pht000875.v2 	 NGRC_Data 	 Rigidity_Neck 	" Participant's score determined by examiner for rigidity in passive movement of neck with participant relaxed in sitting position while participant is in ""on"" or ""off"" state. "	 encoded value 	 NONE 	0	4	 participant s score determined by examiner for rigidity in passive movement of neck with participant relaxed in sitting position while participant is in on or off state 	 NULL 	 NULL 	 NULL 	 NULL 	 muscle rigidity;sitting position 	 C0026837;C0277814 	 sosy;fndg 	 participant 	 C0679646 	 popg	Medical History
phv00120385.v2 	 phs000285.v2.p2 	 pht001825.v2 	 F1F48 	 F48CHANG 	 ANY CHANGES IN DIET SINCE LAST EXAM? Q3 	 encoded 	 NONE 	 NONE 	 NONE 	 any changes in diet since last exam  q3 	 NULL 	 NULL 	 NULL 	 NULL 	 diet;medical examination 	 C0012155;C0582103 	 food;hlca 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00101818.v1 	 phs000287.v2.p1 	 pht001474.v1 	 YR10 	 HDLARG74 	 How much difficulty with large print 	 encoded 	 NONE 	 NONE 	 NONE 	 how much difficulty with large print 	 NULL 	 NULL 	 NULL 	 NULL 	 difficulty 	 C1299586 	 fndg 	 study subject 	 C0681850 	 grup	
phv00126861.v1 	 phs000286.v3.p1 	 pht001953.v1 	 DPASS_DIET1_ES 	 ravg_alc 	 RECALL: alcohol 	 decimal 	 NONE 	0	80.695	 recall  alcohol 	 NULL 	 NULL 	 NULL 	 NULL 	 mental recall;alcohols;alcohol measurement;recall:-:point in time:^patient:- 	 C0034770;C0001975;C0202304;C2361119 	" menp;orch,phsu;lbpr;clna "	 study subject 	 C0681850 	 grup	Medication Patient;Lab Tests Patient;Mental or Emotional Finding;Drinking History
phv00065737.v1 	 phs000086.v2.p1 	 pht000624.v1 	 EDIC_f0022 	 OBI4H2G 	 I4h2g. Diabetes control - answer for all patients: reason for hypoglycemia; unexplained 	 byte 	 NONE 	 NONE 	 NONE 	 i4h2 gram  diabetes control answer for all patients  reason for hypoglycemia  unexplained 	 NULL 	 NULL 	 NULL 	 NULL 	 diabetes;diabetes mellitus;hypoglycemia 	 C0011847;C0011849;C0020615 	 dsyn;dsyn;dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00071974.v1 	 phs000007.v18.p7 	 pht000745.v2 	 sleepecg_2003s 	 ventrate_s1 	 Ventricular rate for first sleep study 	" integer, encoded "	 bpm 	29	122	 ventricular rate for first sleep study 	 NULL 	 NULL 	 NULL 	 NULL 	 polysomnography 	 C0162701 	 diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00055360.v2 	 phs000007.v18.p7 	 pht000395.v6 	 sleep1_1998s 	 HCTZK1 	 Thiazide diuretics with k-sparing 	 NONE 	 NONE 	 NONE 	 NONE 	 thiazide diuretics with ksparing 	 NULL 	 NULL 	 NULL 	 NULL 	 thiazide diuretics 	 C0012802 	" orch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient
phv00169681.v1 	 phs000200.v8.p2 	 pht002758.v1 	 outc_cad_rel3 	 CHF 	 Congestive Heart Failure (CHF) 	 encoded value 	 NONE 	 NONE 	 NONE 	 congestive heart failure  congestive heart failure 	 NULL 	 NULL 	 NULL 	 NULL 	 congestive heart failure 	 C0018802 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00055033.v1 	 phs000007.v18.p7 	 pht000391.v2 	 eye0_1989s 	 CORRECTR 	" ""WALK-IN"" CORRECTION, O.D. "	 NONE 	 NONE 	 NONE 	 NONE 	 walk in correction  o d 	 NULL 	 NULL 	 NULL 	 NULL 	 walking (activity) 	 C0080331 	 dora 	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00056568.v2 	 phs000007.v18.p7 	 pht000395.v6 	 sleep1_1998s 	 INCOTH51 	 Other reason why hookup not completed (no observations) 	 NONE 	 NONE 	 NONE 	 NONE 	 other reason why hookup not completed  no observations 	 NULL 	 NULL 	 NULL 	 NULL 	 observation in research;patient observation 	 C0302523;C0700325 	 resa;hlca 	 study subject 	 C0681850 	 grup	Research Attributes
phv00111853.v3 	 phs000200.v8.p2 	 pht001517.v3 	 f60_item_rel1 	 COOKIES 	" Item #110: Cookies, med serv/day "	 decimal 	 servings 	0	3	 item  number110  cookies  med serv/day 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00112416.v2 	 phs000285.v2.p2 	 pht001558.v2 	 A4COT 	 AL2COT 	 COTININE (NG/ML) 	 integer 	 NG/ML 	0	867	 cotinine  ng/ml 	 NULL 	 NULL 	 NULL 	 NULL 	 cotinine 	 C0010194 	" orch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient
phv00057684.v1 	 phs000007.v18.p7 	 pht000397.v2 	 sleep1_2003s 	 mxsao2nh 	 Maximum SaO2% in NREM sleep 	 NONE 	 NONE 	 NONE 	 NONE 	 maximum sao2% in non-rapid eye movement sleep 	 NULL 	 NULL 	 NULL 	 NULL 	" sleep, slow-wave "	 C0234451 	 phsf 	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00128666.v1 	 phs000286.v3.p1 	 pht001982.v1 	 WSIA 	 WSIA62 	 62: Was without privacy 	 encoded 	 NONE 	 NONE 	 NONE 	 62  was without privacy 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00167186.v1 	 phs000007.v18.p7 	 pht002573.v1 	 t_echo_ex01_3_0042s 	 x185 	 2-D MEASUREMENT  Parasternal Short Axis Ice Pick Left Ventricular Percentage Fractional Shortening - average (TwoD_PLA_LVpcntfs_avg) 	 decimal 	 % 	9.66	53.59	 2 d measurement parasternal short axis ice pick left ventricular percentage fractional shortening average  twod_pla_lvpcntfs_avg 	 NULL 	 NULL 	 NULL 	 NULL 	 axis 2;fractional shortening 	 C0945856;C2599768 	 clna;fndg 	 study subject 	 C0681850 	 grup	
